ShotID,Time,aX,aY,aZ,gX,gY,gZ
5,84,-0.140,-0.699,-0.782,-11.963,-5.371,-6.714
5,85,-0.135,-0.698,-0.771,-2.563,-10.132,-10.437
5,86,-0.128,-0.689,-0.755,6.592,-10.071,-11.169
5,87,-0.121,-0.684,-0.748,11.963,-5.188,-7.690
5,88,-0.117,-0.689,-0.753,13.550,0.671,-1.892
5,89,-0.115,-0.700,-0.767,13.428,3.784,2.563
5,90,-0.115,-0.708,-0.776,15.259,2.502,3.723
5,91,-0.118,-0.707,-0.771,18.250,-0.793,0.610
5,92,-0.124,-0.698,-0.758,19.348,-3.235,-2.808
5,93,-0.125,-0.689,-0.744,16.235,-4.028,-4.333
5,94,-0.126,-0.692,-0.741,9.338,-2.563,-2.502
5,95,-0.126,-0.708,-0.750,2.686,-1.282,0.549
5,96,-0.127,-0.722,-0.759,1.343,-0.610,3.113
5,97,-0.131,-0.722,-0.755,6.531,0.000,3.662
5,98,-0.135,-0.715,-0.746,14.893,0.488,3.418
5,99,-0.143,-0.705,-0.737,19.958,2.075,4.333
5,100,-0.147,-0.701,-0.734,18.677,4.639,7.141
5,101,-0.149,-0.709,-0.741,13.611,7.080,10.071
5,102,-0.148,-0.718,-0.749,8.789,7.751,10.681
5,103,-0.145,-0.722,-0.750,7.446,6.226,8.301
5,104,-0.140,-0.718,-0.744,8.301,3.906,4.700
5,105,-0.137,-0.712,-0.734,8.179,2.197,2.380
5,106,-0.134,-0.711,-0.731,5.554,2.075,2.563
5,107,-0.133,-0.716,-0.736,2.014,3.906,4.639
5,108,-0.128,-0.721,-0.742,-0.061,5.737,6.470
5,109,-0.126,-0.722,-0.746,1.648,5.981,6.348
5,110,-0.125,-0.722,-0.749,5.615,5.005,4.883
5,111,-0.125,-0.714,-0.743,7.446,2.808,3.235
5,112,-0.125,-0.707,-0.739,4.761,1.343,1.953
5,113,-0.126,-0.710,-0.742,-0.916,0.793,1.465
5,114,-0.126,-0.713,-0.750,-7.141,0.061,0.916
7,0,0.021,-0.205,-0.266,-15.503,-4.517,9.766
7,1,0.029,0.416,0.341,40.894,11.169,-3.723
7,2,-0.107,0.001,-0.061,250.244,80.383,-62.378
7,3,-0.502,-2.722,-3.547,251.282,108.887,-42.114
7,4,-0.649,-4.000,-4.000,-659.790,-46.875,118.652
7,5,-1.433,-4.000,-2.599,-1001.770,-232.056,160.767
7,6,0.052,-1.855,-1.335,764.099,-408.936,88.989
7,7,0.037,-0.538,-0.556,1210.510,-484.009,149.048
7,8,-0.023,-0.453,-0.322,812.256,-468.811,307.129
7,9,-0.001,-0.248,-0.139,360.352,-367.615,442.810
7,10,0.139,0.055,0.223,158.203,-184.570,468.872
7,11,0.213,0.244,0.328,291.687,-95.825,333.069
7,12,0.144,0.190,0.198,526.794,-169.739,165.771
7,13,-0.008,0.039,0.004,683.594,-271.179,32.654
7,14,-0.183,-0.114,-0.097,683.777,-287.720,-57.617
7,15,-0.234,-0.232,-0.113,514.099,-233.337,-76.233
7,16,-0.191,-0.226,-0.009,228.760,-169.006,-30.396
7,17,-0.133,-0.095,0.124,-68.481,-164.429,40.955
7,18,-0.113,0.018,0.179,-261.658,-208.313,81.177
7,19,-0.116,0.130,0.221,-326.538,-236.450,74.524
7,20,-0.103,0.186,0.249,-308.350,-214.905,47.119
7,21,-0.087,0.166,0.242,-253.418,-160.156,16.052
7,22,-0.079,0.101,0.187,-206.665,-104.004,-13.977
7,23,-0.096,0.076,0.168,-211.243,-59.875,-32.776
7,24,-0.130,0.052,0.121,-267.334,-23.987,-27.954
7,25,-0.139,0.059,0.068,-376.404,11.292,8.240
7,26,-0.139,0.143,0.049,-502.747,62.195,52.917
7,27,-0.124,0.268,0.084,-591.492,138.672,81.177
7,28,-0.092,0.337,0.095,-590.698,235.474,73.792
7,29,-0.059,0.307,0.078,-509.033,335.876,29.236
7,30,-0.061,0.232,0.040,-390.991,423.523,-41.992
7,31,-0.076,0.096,-0.042,-282.837,497.620,-114.990
7,32,-0.111,-0.040,-0.143,-220.703,570.984,-165.955
7,33,-0.166,-0.168,-0.276,-206.787,647.522,-190.674
7,34,-0.325,-0.791,-0.935,-201.233,719.421,-201.660
7,35,-0.804,-3.692,-3.952,-335.693,741.211,-191.467
7,36,-1.563,-4.000,-4.000,-1023.193,489.319,-106.567
7,37,-0.189,-2.384,-1.567,-951.294,-127.869,95.276
7,38,-0.197,-0.331,-0.392,27.405,-385.498,83.984
7,39,-0.168,-0.255,-0.477,470.886,-327.637,29.419
7,40,0.074,-0.584,-0.891,529.846,-129.639,59.265
7,41,-0.051,-0.124,-0.368,442.200,157.715,14.099
7,42,0.021,0.031,-0.210,417.847,351.318,-52.124
7,43,0.043,-0.461,-0.804,543.030,337.891,-112.061
7,44,-0.012,-0.951,-1.346,510.925,196.899,-167.297
7,45,-0.044,-0.736,-1.036,216.675,41.992,-218.506
7,46,-0.081,-0.319,-0.495,-41.687,-70.496,-265.564
7,47,-0.121,-0.214,-0.330,-125.671,-136.780,-280.884
7,48,-0.132,-0.512,-0.688,-169.434,-175.964,-259.888
7,49,-0.137,-1.102,-1.424,-295.898,-205.750,-240.417
7,50,-0.019,-1.503,-1.711,-517.822,-232.666,-265.747
7,51,-0.059,-1.357,-1.115,-590.637,-273.254,-333.801
7,52,-0.103,-0.632,-0.396,-317.078,-339.600,-367.737
7,53,-0.093,-0.229,-0.145,39.734,-377.808,-330.811
7,54,-0.090,-0.340,-0.241,240.051,-335.999,-270.813
7,55,-0.075,-0.802,-0.620,324.768,-238.647,-194.824
7,56,-0.034,-1.293,-1.069,316.528,-149.109,-108.276
7,57,0.019,-1.162,-0.975,237.732,-113.159,-58.167
7,58,0.018,-0.699,-0.611,212.158,-124.512,-79.773
7,59,-0.083,-0.651,-0.638,286.865,-140.137,-144.226
7,60,-0.199,-0.808,-0.813,286.743,-126.709,-185.608
7,61,-0.196,-0.697,-0.668,101.257,-88.867,-163.452
7,62,-0.158,-0.606,-0.546,-131.042,-48.035,-102.356
7,63,-0.134,-0.676,-0.571,-263.367,-18.188,-41.687
7,64,-0.124,-0.784,-0.607,-266.052,0.977,-1.526
7,65,-0.137,-0.840,-0.626,-165.466,11.536,21.729
7,66,-0.176,-0.850,-0.662,-45.532,17.822,48.706
7,67,-0.220,-0.859,-0.711,5.676,36.133,88.440
7,68,-0.239,-0.814,-0.698,-27.100,75.073,135.803
7,69,-0.231,-0.716,-0.620,-83.801,128.784,175.842
7,70,-0.225,-0.649,-0.574,-91.980,180.115,191.833
7,71,-0.250,-0.689,-0.631,-42.725,213.318,184.143
7,72,-0.291,-0.801,-0.760,7.141,222.290,174.438
7,73,-0.308,-0.859,-0.834,10.681,212.280,177.185
7,74,-0.280,-0.785,-0.779,-18.555,193.115,185.364
7,75,-0.235,-0.689,-0.701,-36.255,174.255,186.523
7,76,-0.202,-0.667,-0.691,-28.870,157.410,178.711
7,77,-0.175,-0.697,-0.735,-20.325,141.357,169.128
7,78,-0.144,-0.752,-0.806,-29.663,128.784,160.034
7,79,-0.113,-0.786,-0.853,-57.190,120.056,149.597
7,80,-0.088,-0.776,-0.854,-86.304,109.070,134.216
7,81,-0.070,-0.730,-0.813,-98.511,93.323,113.342
7,82,-0.069,-0.700,-0.792,-89.539,76.111,89.966
7,83,-0.076,-0.689,-0.792,-74.097,59.387,71.045
7,84,-0.081,-0.691,-0.807,-66.040,44.922,58.838
7,85,-0.082,-0.694,-0.822,-61.646,32.959,49.377
7,86,-0.080,-0.689,-0.826,-52.917,20.020,36.438
7,87,-0.081,-0.674,-0.822,-36.377,3.479,17.456
